english,dutch
elected,gekozen
product,Product
adopted,geadopteerd
actually,Eigenlijk
wife,vrouw
ended,eindigde
born,geboren
Christian,Christelijk
keep,houden
potential,potentieel
course,cursus
love,Liefde
issue,probleem
objects,voorwerpen
things,dingen
heavy,zwaar
oil,olie
center,centrum
regular,normaal
George,George
the,de
following,als vervolg op
divided,verdeeld
eight,acht
date,datum
James,Jakobus
summer,zomer
direction,richting
numerous,talrijk
account,rekening
income,inkomen
individuals,individuen
concept,concept
plan,plan
announced,aangekondigd
Russian,Russisch
applied,toegepast
values,waarden
northern,noordelijk
proposed,voorgesteld
ships,schepen
resulting,resulterend
estimated,geschat
appears,komt naar voren
continue,doorgaan
Canada,Canada
red,rood
married,getrouwd
object,voorwerp
media,media
engine,motor
passed,geslaagd
Henry,Henry
Australia,Australi�
quality,kwaliteit
founded,Gesticht
hold,uitstel
say,inspraak
parties,partijen
letter,brief
Japan,Japan
expected,verwacht
treatment,behandeling
normal,normaal
signal,signaal
blood,bloed
financial,financieel
status,toestand
video,video
carried,gedragen
compared,vergeleken
know,weten
wanted,gewild
accepted,geaccepteerd
via,via
read,lezen
each,elk
other,ander
types,soorten
of,van
animals,dieren
turned,draaide
unit,eenheid
feature,functie
southern,zuidelijk
increasing,toenemend
met,leerde kennen
prevent,voorkomen
songs,liedjes
applications,toepassingen
require,vereisen
opened,geopend
marriage,huwelijk
contain,bevatten
equipment,apparatuur
playing,spelen
section,sectie
remaining,overig
properties,eigenschappen
asked,vroeg
the,de
case,geval
ten,tien
Charles,Karel
whom,van wie
ways,manieren
buildings,gebouwen
probably,waarschijnlijk
running,rennen
stories,verhalen
edition,editie
location,plaats
noted,dat is genoteerd
cell,cel
analysis,analyse
Russia,Rusland
Rome,Rome
removed,VERWIJDERD
becomes,wordt
paper,papier
billion,miljard
fall,val
child,kind
cut,snee
operating,operationeel
degree,rang
ship,schip
occurs,komt voor
less,minder
than,dan
completely,volledig
except,behalve
inside,binnen
Robert,Robert
troops,troepen
Jewish,Joods
report,rapport
flow,stroom
metal,metaal
appointed,benoemd
offered,aangeboden
told,verteld
frequency,frequentie
initial,voorletter
campaign,campagne
discovered,ontdekt
definition,definitie
historical,historisch
models,modellen
allowing,toestaan
operation,operatie
police,politie
poor,arm
weight,gewicht
not,niet
have,hebben
ancient,oud
here,hier
primarily,in de eerste plaats
agreed,overeengekomen
hit,hit
west,westen
heat,warmte
security,beveiliging
David,David
claimed,beweerde
positive,positief
easily,gemakkelijk
environment,omgeving
scientific,wetenschappelijk
going,gaan
regions,Regio's
tradition,traditie
requires,vereist
St.,St.
extended,verlengd
charge,aanval
female,vrouwelijk
face,gezicht
serve,dienen
equal,gelijkwaardig
Italy,Itali�
letters,brieven
refused,geweigerd
immediately,onmiddellijk
supply,levering
effective,effectief
internal,intern
versions,versies
cultural,cultureel
leave,vertrekken
mainly,voornamelijk
negative,negatief
soldiers,soldaten
question,vraag
spread,spreiding
Paul,Paulus
